Formula Name,Formula,Description,Use Case Example
Return on Investment (ROI),ROI = (Net Profit / Cost of Investment) × 100,Measures the profitability of an investment relative to its cost.,"If the net profit is $200 and the investment is $1000, ROI = (200 / 1000) × 100 = 20%."
Gross Profit Margin,Gross Profit Margin = (Gross Profit / Revenue) × 100,Indicates the percentage of revenue that exceeds the cost of goods sold.,"If revenue is $500,000 and gross profit is $150,000, gross profit margin = (150,000 / 500,000) × 100 = 30%."
Net Profit Margin,Net Profit Margin = (Net Profit / Revenue) × 100,Measures the percentage of revenue that remains after all expenses are deducted.,"If net profit is $50,000 and revenue is $500,000, net profit margin = (50,000 / 500,000) × 100 = 10%."
Earnings Before Interest and Taxes (EBIT),EBIT = Revenue - Operating Expenses (excluding interest and tax),Measures a company's profitability before deducting interest and taxes.,"If revenue is $1,000,000 and operating expenses (excluding interest/taxes) are $700,000, EBIT = 1,000,000 - 700,000 = $300,000."
Current Ratio,Current Ratio = Current Assets / Current Liabilities,Assesses a company's ability to pay short-term obligations with its short-term assets.,"If current assets are $200,000 and current liabilities are $100,000, current ratio = 200,000 / 100,000 = 2.0."
Quick Ratio (Acid-Test Ratio),Quick Ratio = (Current Assets - Inventory) / Current Liabilities,Measures a company's ability to meet short-term obligations without relying on inventory.,"If current assets are $200,000, inventory is $50,000, and liabilities are $100,000, quick ratio = (200,000 - 50,000) / 100,000 = 1.5."
Debt-to-Equity Ratio,Debt-to-Equity Ratio = Total Debt / Total Equity,Shows the relative proportion of debt and equity in financing the company's assets.,"If total debt is $500,000 and total equity is $1,000,000, debt-to-equity ratio = 500,000 / 1,000,000 = 0.5."
Accounts Receivable Turnover,Accounts Receivable Turnover = Net Credit Sales / Average Accounts Receivable,Indicates how quickly a company collects payments from its customers.,"If net credit sales are $600,000 and average accounts receivable is $100,000, turnover = 600,000 / 100,000 = 6.0."
Days Sales Outstanding (DSO),DSO = (Accounts Receivable / Net Credit Sales) × 365,Measures the average number of days it takes for a company to collect its receivables.,"If accounts receivable is $100,000 and net credit sales are $600,000, DSO = (100,000 / 600,000) × 365 = 60.83 days."
Inventory Turnover,Inventory Turnover = Cost of Goods Sold / Average Inventory,Shows how many times inventory is sold and replaced over a period.,"If cost of goods sold is $400,000 and average inventory is $100,000, turnover = 400,000 / 100,000 = 4.0."
Days Inventory Outstanding (DIO),DIO = (Average Inventory / Cost of Goods Sold) × 365,Calculates the average number of days inventory is held before being sold.,"If average inventory is $100,000 and cost of goods sold is $400,000, DIO = (100,000 / 400,000) × 365 = 91.25 days."
Debt-to-Assets Ratio,Debt-to-Assets Ratio = Total Debt / Total Assets,Shows the percentage of a company's assets that are financed by debt.,"If total debt is $500,000 and total assets are $1,500,000, debt-to-assets ratio = 500,000 / 1,500,000 = 0.33."
Return on Equity (ROE),ROE = Net Income / Shareholder's Equity × 100,Measures a corporation's profitability relative to stockholder's equity.,"If net income is $100,000 and equity is $500,000, ROE = (100,000 / 500,000) × 100 = 20%."
Return on Assets (ROA),ROA = Net Income / Total Assets × 100,Measures a company's ability to generate profit from its assets.,"If net income is $100,000 and total assets are $1,000,000, ROA = (100,000 / 1,000,000) × 100 = 10%."
Operating Income,Operating Income = Revenue - Operating Expenses,Measures the income from a company's core business operations.,"If revenue is $500,000 and operating expenses are $300,000, operating income = 500,000 - 300,000 = $200,000."
Break-even Point,Break-even Point = Fixed Costs / (Selling Price per Unit - Variable Cost per Unit),"The point at which total revenue equals total costs, resulting in no profit or loss.","If fixed costs are $50,000, selling price per unit is $10, and variable cost per unit is $5, break-even point = 50,000 / (10 - 5) = 10,000 units."
Working Capital,Working Capital = Current Assets - Current Liabilities,Measures a company’s short-term financial health and operational efficiency.,"If current assets are $200,000 and current liabilities are $150,000, working capital = 200,000 - 150,000 = $50,000."
Cost of Goods Sold (COGS),COGS = Beginning Inventory + Purchases - Ending Inventory,Represents the direct costs incurred to produce goods sold by a company.,"If beginning inventory is $100,000, purchases are $400,000, and ending inventory is $120,000, COGS = 100,000 + 400,000 - 120,000 = $380,000."
Cash Flow from Operations,Cash Flow from Operations = Net Income + Depreciation + Changes in Working Capital,Measures the cash generated from a company’s core business activities.,"If net income is $100,000, depreciation is $20,000, and changes in working capital are $5,000, cash flow from operations = 100,000 + 20,000 + 5,000 = $125,000."
Capital Expenditure (CapEx),CapEx = Ending PP&E - Beginning PP&E + Depreciation,Represents funds used by a company to acquire or upgrade physical assets.,"If ending PP&E is $500,000, beginning PP&E is $400,000, and depreciation is $50,000, CapEx = 500,000 - 400,000 + 50,000 = $150,000."
Operating Cash Flow (OCF),OCF = Net Income + Non-Cash Expenses + Changes in Working Capital,Measures the cash generated or used by a company's core business operations.,"If net income is $200,000, non-cash expenses (depreciation) are $50,000, and changes in working capital are $30,000, OCF = 200,000 + 50,000 + 30,000 = $280,000."
Dividend Payout Ratio,Dividend Payout Ratio = Dividends / Net Income × 100,Measures the proportion of earnings paid out as dividends to shareholders.,"If dividends are $20,000 and net income is $100,000, dividend payout ratio = (20,000 / 100,000) × 100 = 20%."
Free Cash Flow (FCF),FCF = Operating Cash Flow - Capital Expenditures,Measures the cash a company generates after spending on capital expenditures.,"If operating cash flow is $250,000 and capital expenditures are $50,000, FCF = 250,000 - 50,000 = $200,000."
Price-to-Earnings Ratio (P/E),P/E = Market Price per Share / Earnings per Share,Measures the price investors are willing to pay for a company's earnings.,"If the market price per share is $50 and earnings per share is $5, P/E ratio = 50 / 5 = 10."
Earnings Per Share (EPS),EPS = Net Income / Outstanding Shares,Indicates the portion of a company's profit allocated to each outstanding share.,"If net income is $200,000 and outstanding shares are 50,000, EPS = 200,000 / 50,000 = $4.00 per share."
Asset Turnover Ratio,Asset Turnover Ratio = Revenue / Average Total Assets,Measures how efficiently a company uses its assets to generate revenue.,"If revenue is $1,000,000 and average total assets are $500,000, asset turnover ratio = 1,000,000 / 500,000 = 2.0."
Operating Profit Margin,Operating Profit Margin = Operating Income / Revenue × 100,Measures the percentage of revenue that turns into operating profit.,"If operating income is $200,000 and revenue is $1,000,000, operating profit margin = (200,000 / 1,000,000) × 100 = 20%."
Fixed Asset Turnover,Fixed Asset Turnover = Revenue / Average Fixed Assets,Measures how efficiently a company uses its fixed assets to generate revenue.,"If revenue is $2,000,000 and average fixed assets are $500,000, fixed asset turnover = 2,000,000 / 500,000 = 4.0."
Debt Coverage Ratio,Debt Coverage Ratio = Operating Income / Total Debt,Measures the ability of a company to meet its debt obligations with operating income.,"If operating income is $300,000 and total debt is $1,000,000, debt coverage ratio = 300,000 / 1,000,000 = 0.3."
Interest Coverage Ratio,Interest Coverage Ratio = EBIT / Interest Expense,Measures the ability to meet interest payments from earnings.,"If EBIT is $500,000 and interest expense is $100,000, interest coverage ratio = 500,000 / 100,000 = 5.0."
Accounts Payable Turnover,Accounts Payable Turnover = Purchases / Average Accounts Payable,Measures how quickly a company pays off its accounts payable.,"If purchases are $600,000 and average accounts payable is $150,000, turnover = 600,000 / 150,000 = 4.0."
Days Payable Outstanding (DPO),DPO = (Accounts Payable / Cost of Goods Sold) × 365,Measures the average number of days a company takes to pay its suppliers.,"If accounts payable is $100,000 and cost of goods sold is $400,000, DPO = (100,000 / 400,000) × 365 = 91.25 days."
Quick Ratio (Acid Test),Quick Ratio = (Current Assets - Inventory) / Current Liabilities,Measures the ability to meet short-term obligations without relying on inventory.,"If current assets are $500,000, inventory is $100,000, and liabilities are $300,000, quick ratio = (500,000 - 100,000) / 300,000 = 1.33."
Capital Asset Pricing Model (CAPM),Expected Return = Risk-Free Rate + Beta × (Market Return - Risk-Free Rate),Used to estimate the return of an asset based on its risk compared to the market.,"If the risk-free rate is 2%, beta is 1.5, and market return is 8%, expected return = 2% + 1.5 × (8% - 2%) = 11%."
Dividend Yield,Dividend Yield = Dividends per Share / Market Price per Share × 100,Measures the annual dividend income relative to the market price of the stock.,"If dividends per share are $2 and the market price per share is $40, dividend yield = (2 / 40) × 100 = 5%."
Return on Capital Employed (ROCE),ROCE = EBIT / Capital Employed × 100,Measures a company's ability to generate profit from its capital.,"If EBIT is $300,000 and capital employed is $1,500,000, ROCE = (300,000 / 1,500,000) × 100 = 20%."
Sales Growth Rate,Sales Growth Rate = (Current Sales - Previous Sales) / Previous Sales × 100,Measures the percentage change in sales over a period.,"If current sales are $1,200,000 and previous sales were $1,000,000, sales growth rate = (1,200,000 - 1,000,000) / 1,000,000 × 100 = 20%."
Market Capitalization,Market Capitalization = Share Price × Shares Outstanding,Represents the total market value of a company's outstanding shares of stock.,"If share price is $50 and shares outstanding are 1,000,000, market capitalization = 50 × 1,000,000 = $50,000,000."
Price-to-Book Ratio (P/B),P/B Ratio = Market Price per Share / Book Value per Share,Measures the market value of a company's stock relative to its book value.,"If market price per share is $50 and book value per share is $30, P/B ratio = 50 / 30 = 1.67."
Return on Investment Capital (ROIC),ROIC = NOPAT / Invested Capital × 100,Measures the return a company generates on its invested capital.,"If NOPAT (Net Operating Profit After Tax) is $400,000 and invested capital is $2,000,000, ROIC = (400,000 / 2,000,000) × 100 = 20%."
Operating Leverage,Operating Leverage = Contribution Margin / EBIT,Measures the proportion of fixed costs in a company’s cost structure.,"If the contribution margin is $200,000 and EBIT is $100,000, operating leverage = 200,000 / 100,000 = 2.0."
Sustainable Growth Rate (SGR),SGR = ROE × Retention Ratio,Indicates the maximum growth rate a company can sustain without increasing debt.,"If ROE is 15% and retention ratio is 60%, SGR = 15% × 60% = 9%."
Total Asset Turnover,Total Asset Turnover = Revenue / Average Total Assets,Measures how efficiently a company uses its assets to generate revenue.,"If revenue is $1,500,000 and average total assets are $750,000, total asset turnover = 1,500,000 / 750,000 = 2.0."
Cash Conversion Cycle (CCC),CCC = DSO + DIO - DPO,Measures the time it takes for a company to convert its investments in inventory and accounts receivable into cash.,"If DSO = 60, DIO = 91.25, and DPO = 30, CCC = 60 + 91.25 - 30 = 121.25 days."
Return on Sales (ROS),ROS = Operating Profit / Revenue × 100,Measures how efficiently a company turns revenue into operating profit.,"If operating profit is $200,000 and revenue is $1,000,000, ROS = (200,000 / 1,000,000) × 100 = 20%."
Interest Expense,Interest Expense = Debt × Interest Rate,Calculates the interest expense on debt based on the interest rate and the amount of debt.,"If debt is $500,000 and interest rate is 5%, interest expense = 500,000 × 0.05 = $25,000."
Depreciation Expense (Straight-Line),Depreciation = (Cost of Asset - Salvage Value) / Useful Life,Allocates the cost of an asset over its useful life.,"If the cost of an asset is $50,000, salvage value is $5,000, and useful life is 5 years, depreciation = (50,000 - 5,000) / 5 = $9,000 per year."
Debt Ratio,Debt Ratio = Total Debt / Total Assets,Indicates the proportion of a company’s assets that are financed by debt.,"If total debt is $400,000 and total assets are $1,200,000, debt ratio = 400,000 / 1,200,000 = 0.33."
Return on Equity (ROE),ROE = Net Income / Shareholder’s Equity × 100,Measures a company’s ability to generate profit from its shareholders' equity.,"If net income is $120,000 and equity is $600,000, ROE = (120,000 / 600,000) × 100 = 20%."
Return on Assets (ROA),ROA = Net Income / Total Assets × 100,Indicates how effectively a company is using its assets to generate profit.,"If net income is $80,000 and total assets are $1,000,000, ROA = (80,000 / 1,000,000) × 100 = 8%."
Fixed Costs,Fixed Costs = Total Costs - Variable Costs,Represents the costs that do not vary with production or sales volume.,"If total costs are $300,000 and variable costs are $150,000, fixed costs = 300,000 - 150,000 = $150,000."
Contribution Margin,Contribution Margin = Revenue - Variable Costs,Represents the sales revenue available to cover fixed costs after variable costs are deducted.,"If revenue is $500,000 and variable costs are $200,000, contribution margin = 500,000 - 200,000 = $300,000."
Price-to-Sales Ratio (P/S),P/S Ratio = Market Capitalization / Revenue,Measures the price investors are willing to pay for a company’s revenue.,"If market capitalization is $2,000,000 and revenue is $1,000,000, P/S ratio = 2,000,000 / 1,000,000 = 2.0."
